,log_PM10,PM10
210,2.590177752,389.2044094
211,2.604755215,402.4901119
212,2.572688068,373.8419798
213,2.612910335,410.1194206
214,2.677889743,476.3100472
215,2.71029234,513.2067263
216,2.700724554,502.0240855
217,2.696338546,496.9795815
218,2.675473973,473.6679209
219,2.68730245,486.7460655
220,2.776569121,597.8181847
221,2.724902328,530.7650629
222,2.69963601,500.7673558
223,2.699089765,500.1378988
224,2.722449836,527.7762417
225,2.736317251,544.9005563
226,2.758392647,573.3141319
227,2.744067414,554.711812
228,2.739540764,548.9600798
229,2.851791344,710.8718946
230,2.846727992,702.6321089
231,2.852069341,711.3270778
232,2.837732532,688.2283076
233,2.82115294,662.4497493
234,2.722449836,527.7762417
235,2.724413956,530.1685429
236,2.522525269,333.0621405
237,2.52371721,333.9775003
238,2.668067661,465.6586353
239,2.665543922,462.9604825
240,2.701807876,503.2779185
241,2.712879679,516.2733164
242,2.712364577,515.6613451
243,2.758392647,573.3141319
244,2.761317953,577.1888773
245,2.772654426,592.4537131
246,2.772654426,592.4537131
247,2.739997533,549.5377523
248,2.737704394,546.6437584
249,2.755854729,569.9735853
250,2.88771965,772.181958
251,2.889844967,775.9700646
252,2.915585433,823.3517886
253,2.917257021,826.5269545
254,2.949953944,891.1564284
255,2.962564044,917.411213
256,2.965609559,923.8672226
257,2.843288247,697.0890271
258,2.838913566,690.1024447
259,2.758392647,573.3141319
260,2.756703874,571.0891041
261,2.795898934,625.0272242
262,2.769072235,587.5870762
263,2.742718919,552.9920895
264,2.725389647,531.3609655
265,2.724413956,530.1685429
266,2.637188425,433.6990038
267,2.634292586,430.8167563
268,2.171775524,148.5167796
269,1.950233379,89.1730002
270,2.082998096,121.0592826
271,1.991414765,98.04258769
272,1.991414765,98.04258769
273,2.056394173,113.8660284
274,2.056394173,113.8660284
275,2.046781135,111.3733121
276,2.046781135,111.3733121
277,1.880177976,75.88885075
278,1.808248104,64.30549772
279,1.808248104,64.30549772
280,1.70208731,50.36018419
281,1.70208731,50.36018419
282,1.70208731,50.36018419
283,1.70208731,50.36018419
284,1.70208731,50.36018419
285,1.651685366,44.84204043
286,1.651685366,44.84204043
287,1.33855989,21.80519075
288,1.33855989,21.80519075
289,1.586705959,38.61054741
290,1.586705959,38.61054741
291,1.586705959,38.61054741
292,1.586705959,38.61054741
293,1.586705959,38.61054741
294,1.651685366,44.84204043
295,1.651685366,44.84204043
296,1.495122628,31.26962179
297,1.495122628,31.26962179
298,1.495122628,31.26962179
299,1.495122628,31.26962179
300,1.495122628,31.26962179
301,1.33855989,21.80519075
302,1.33855989,21.80519075
303,1.586705959,38.61054741
304,1.586705959,38.61054741
305,1.586705959,38.61054741
306,1.586705959,38.61054741
307,1.586705959,38.61054741
308,1.586705959,38.61054741
309,1.586705959,38.61054741
310,1.33855989,21.80519075
311,1.33855989,21.80519075
312,1.33855989,21.80519075
313,1.33855989,21.80519075
314,1.33855989,21.80519075
315,1.33855989,21.80519075
316,1.70208731,50.36018419
317,1.778087063,59.99113286
318,1.778087063,59.99113286
319,1.778087063,59.99113286
320,1.778087063,59.99113286
321,1.778087063,59.99113286
322,1.778087063,59.99113286
323,1.651685366,44.84204043
324,1.495122628,31.26962179
325,1.495122628,31.26962179
326,1.495122628,31.26962179
327,1.495122628,31.26962179
328,1.495122628,31.26962179
